Banks,Lelia,40
Floyd,Cole,31
Lawson,Lydia,33
Ross,Willie,18
Pierce,Tom,55
Reed,Jose,40
Alvarado,Daniel,49
Brock,Jesse,63
McCarthy,Troy,39
Richardson,Craig,26
Barrett,Agnes,58
Hunter,Sadie,21
George,Keith,45
Coleman,Ricky,36
Patterson,Tommy,43
Bush,Maude,46
Schmidt,Terry,37
Thompson,Myrtie,48
Parker,Lura,50
Stevenson,Stanley,19
Bowers,Jeanette,40
Collins,Isabel,24
Newman,Winifred,64
Sanchez,Cornelia,37
Perez,Belle,56
Snyder,Etta,28
Flowers,Alberta,50
Rice,Landon,29
Poole,Inez,36
Watts,Phillip,63
Hernandez,Willie,49
Hoffman,Stella,24
Brady,Elijah,27
Blake,Clifford,64
Rodriquez,Luella,29
Daniels,Charlotte,24
Long,Matilda,30
Castro,Marian,38
Perkins,Mildred,31
Murray,Betty,54
Robinson,Seth,48
Cruz,Francis,63
Gibbs,Lola,56
Hall,Logan,65
Pope,Louise,61
Gill,Stella,18
Santiago,Todd,32
Phelps,Christine,33
McDonald,Lucile,49
Reid,Carlos,40
Montgomery,Elnora,63
Spencer,Laura,26
Carson,Matilda,24
Foster,Lela,34
Harrington,Bernard,59
Goodman,Benjamin,52
Adkins,Sean,40
Figueroa,Amanda,39
Brewer,Julian,19
Sharp,Fred,31
Conner,Eunice,52
Holmes,Genevieve,50
Nguyen,Leon,50
Peters,Mildred,29
Vaughn,Effie,29
Schneider,Ronnie,41
Fitzgerald,Kevin,51
Powers,Seth,57
Luna,Derrick,34
Huff,Johnny,44
Tyler,Harry,52
Yates,Anthony,30
Wood,Carrie,25
Austin,Corey,30
Reynolds,Rhoda,35
Diaz,Marie,20
Fox,Brian,28
Rhodes,Rose,27
Hart,Wayne,38
Williams,Tillie,19
McLaughlin,Beulah,22
Wilkerson,Wayne,62
Allison,Bettie,19
Pena,Edward,25
Townsend,Maurice,20
Barnes,Jeffrey,59
Roberson,George,35
Henderson,Dorothy,58
Gonzales,Edna,43
Lee,Annie,52
May,Helen,56
Hansen,Beulah,28
Baker,Calvin,60
McDonald,Lura,42
Romero,Allie,39
Dunn,Tom,46
Wood,Joe,59
Johnson,Pearl,31
Bowman,Ida,22
Ferguson,Amy,24
Rodriquez,Anthony,65
Morrison,Linnie,44
Jefferson,Lena,54
Green,Sam,48
Norton,Jerome,20
Glover,Theodore,33
Jenkins,Troy,50
Gutierrez,Flora,43
Malone,Josephine,43
Abbott,Richard,62
Curry,Ruby,38
Gill,Victor,27
Wagner,Connor,47
Gonzales,Cynthia,30
Gordon,Patrick,45
Patrick,Della,49
Frank,Fred,25
Cohen,Rebecca,42
Stephens,Ethan,22
Kelley,Emily,31
Byrd,Birdie,44
Graham,Oscar,22
Manning,Wayne,39
Reid,Nathaniel,45
Reese,Mollie,21
Berry,Jerome,18
Franklin,Grace,47
Mendez,Carrie,42
James,Isaiah,54
Peterson,Annie,31
Brady,Louis,22
Sharp,Gene,61
Lopez,Ruth,18
Payne,Tom,19
Cooper,Nina,23
Bass,Eula,60
Greene,Cynthia,42
Nguyen,Charlotte,43
Porter,Leon,18
Jennings,Anne,38
Neal,Bertie,28
Harper,Mabel,40
Goodman,Ophelia,57
Williams,Mina,25
Alvarado,Myrtie,62
Wright,Devin,42
Mendoza,Charlie,30
Cooper,Troy,64
Cook,Howard,55
Cannon,Curtis,20
Sharp,Laura,49
Clark,Rhoda,39
Romero,Jacob,29
Wade,Wayne,63
Alvarez,Sam,43
Powell,Brandon,61
Clark,Philip,43
McCormick,Mamie,49
Norris,Johanna,38
Henry,Max,41
Obrien,Sophie,31
Mason,Rachel,43
Barnes,Maria,64
Todd,Mitchell,55
Barker,Jesus,28
Malone,Gerald,44
Watson,Lida,22
Henry,Matthew,43
Schneider,Tony,62
Gross,Nelle,29
Burke,Esther,60
Cole,Kenneth,64
Estrada,Christian,35
James,Madge,37
Byrd,Evelyn,54
Guzman,Teresa,54
Holland,Daniel,52
Love,Georgie,64
Williams,Hallie,39
Jones,Georgia,48
Carter,Mabelle,50
Sharp,Delia,56
McKinney,Phillip,28
Hall,Vera,35
Cross,Jesse,59
Rios,Cora,33
Chavez,Wesley,51
Holloway,Minnie,48
Ortiz,Chester,28
Kelley,Roger,62
Perry,Rosetta,60
Lindsey,Harriet,19
Castillo,Philip,55
Adams,Alberta,26
Franklin,Vernon,37
Massey,Trevor,39
Flowers,Joseph,62
Cooper,Franklin,27
Elliott,Vincent,63
Manning,Stella,28
Moore,Anne,64
Sullivan,Sarah,33
Craig,Mitchell,20
Rice,Bernard,65
Jimenez,Arthur,18
Gonzales,Edward,63
Ward,Tom,41
Flores,Edwin,63
Haynes,Alta,47
Shaw,George,47
Strickland,Jason,40
Cummings,Loretta,46
Terry,Nettie,23
Lee,Cecilia,52
Harmon,Verna,32
Ruiz,Lula,47
McKinney,Bessie,60
Vega,Bettie,50
Clarke,David,29
Carson,Cody,18
Curtis,Tommy,59
Mann,Blanche,19
Todd,Lula,57
Fields,Bertha,55
Jensen,Norman,30
Bailey,Myra,42
