homme,Goguen,Iven,8/21/1957,FRESNES,102.9,169,AB+
homme,Riel,Varden,6/2/1961,ROUEN,99.1,172,B+
homme,Dostie,Philippe,4/30/1965,PARIS,77.7,176,A+
femme,Dupuis,Claudette,9/20/1953,FONTENAY-AUX-ROSES,57.0,163,O+
femme,DuLin,Maryse,4/20/1936,ANGLET,71.0,168,O+
femme,Bisson,Laurence,9/12/1950,LE HAVRE,77.2,162,A+
femme,LaGrande,Delphine,5/14/1995,CROIX,59.7,159,A+
femme,Lafontaine,Madelene,2/13/1960,TOULOUSE,79.3,156,AB+
femme,Dubeau,Parnella,8/17/1999,FONTENAY-SOUS-BOIS,86.7,167,AB+
femme,Adler,Leone,7/18/1961,NANTES,73.8,158,A+
femme,Migneault,Mavise,12/21/1977,PONTAULT-COMBAULT,83.0,164,O+
homme,Fecteau,Gradasso,6/20/1970,SAINTE-MARIE,89.8,167,A+
femme,Bonnet,Maureen,8/13/1934,VILLENEUVE-D'ASCQ,90.4,150,O+
femme,Durand,Belisarda,9/24/1962,SAINT-PRIEST,83.5,168,O+
femme,Faubert,Yolande,4/15/1945,BLOIS,72.0,158,O+
homme,Mazuret,Chapin,3/31/1952,BRIVE-LA-GAILLARDE,100.6,169,O+
femme,Echeverri,Pauline,6/27/1966,SAINT-MICHEL-SUR-ORGE,99.7,174,A+
homme,Beaulé,Arridano,1/20/1935,ANNEMASSE,75.8,178,B+
homme,Rodrigue,Namo,6/18/1941,ANTIBES,100.5,169,A+
femme,Jodion,Fayette,10/3/1956,POITIERS,89.8,159,B+
femme,Gareau,Genevre,1/26/1980,SAINT-PIERRE,57.9,159,B+
homme,Trottier,Timothée,12/12/1951,LE HAVRE,105.5,163,B+
homme,Dufresne,Christophe,5/10/1982,LAVAL,63.9,183,A+
homme,Poirier,Neville,5/19/1964,ÉPINAL,109.0,188,O+
femme,Leroux,Christine,11/19/1978,FONTAINE,102.7,155,O-
femme,D'Aoust,Astrid,3/30/1993,RIS-ORANGIS,91.8,156,B+
femme,Bousquet,Frédérique,7/5/1989,CHELLES,85.8,155,A+
homme,Lamour,Mason,3/21/1974,LA MADELEINE,66.6,184,A+
homme,Mailloux,Kerman,10/4/1969,SEVRAN,108.9,180,A+
homme,Guibord,Emmanuel,1/20/1984,CANNES,111.9,190,A-
femme,Faubert,Delphine,4/7/1936,SOISSONS,61.3,159,B+
homme,Lafond,Marcel,4/2/1993,DUNKERQUE,104.9,171,AB+
femme,Aubin,Morgana,8/3/1964,NOUMÉA,92.8,165,O+
femme,Frappier,Aimée,12/22/1933,CHARLEVILLE-MÉZIÈRES,57.2,158,A+
femme,Lanoie,Mariette,6/13/1975,CANNES,104.1,157,O+
homme,Vachon,Martin,5/28/1945,ÉPINAY-SUR-SEINE,71.8,163,B+
homme,Bussière,Philip,6/3/1977,SAINT-ÉTIENNE-DU-ROUVRAY,84.3,176,O+
homme,Joly,Maslin,9/23/1942,DUNKERQUE,89.6,173,O+
femme,Meilleur,Sophie,6/8/1938,VANNES,103.4,160,O+
homme,Ouellet,Marsilius,6/6/1949,FONTAINE,86.6,179,O+
homme,Leclerc,Pierpont,8/9/1948,NOISY-LE-SEC,70.4,176,B+
femme,Gilbert,La Roux,3/31/1949,MILLAU,87.0,169,B+
femme,Talon,Berangaria,3/1/1994,BAYONNE,96.6,158,O+
femme,Moreau,Daisi,3/23/1943,RUEIL-MALMAISON,68.3,161,O+
femme,Sylvain,Michèle,8/13/1970,LORMONT,78.6,165,A-
femme,Pelland,Ormazd,12/27/1962,EAUBONNE,56.3,156,A+
femme,Richard,Cendrillon,9/9/1979,LENS,75.5,154,O+
homme,Fouquet,Fitz,10/4/1985,DIJON,73.1,189,B+
