homme,Cartier,Charles,4/21/1942,BASSE-TERRE,88.0,165,O-
femme,Laliberté,Vedette,7/20/1951,L'HAŸ-LES-ROSES,62.4,164,O-
femme,Arcouet,Favor,5/29/1949,AULNAY-SOUS-BOIS,93.3,171,O+
femme,Laux,Emmeline,9/19/1961,NANCY,88.0,167,A+
femme,Arcouet,Esmeraude,1/4/1969,SAINT-MICHEL-SUR-ORGE,79.7,160,B+
femme,Bizier,Raina,2/10/1968,BIARRITZ,103.0,172,O+
femme,Petrie,Blanchefle,12/12/1955,NICE,81.1,169,O-
homme,L'Hiver,Faustin,6/22/1951,ALENÇON,104.8,164,B-
homme,Lizotte,Jay,10/30/1996,AGDE,105.1,170,O+
femme,Thivierge,Henriette,12/7/1994,SAINT-ÉTIENNE,58.7,167,A-
femme,Lapierre,Allyriane,11/23/1972,GAP,92.8,172,A-
femme,Salois,Ila,7/19/1976,LYON,74.0,171,O-
femme,Descoteaux,Cher,7/8/1954,L'HAŸ-LES-ROSES,75.3,160,B+
femme,Landry,Phillipa,10/6/1961,COLMAR,61.9,152,A+
femme,LaGrande,Nicolette,2/14/1940,MARSEILLE,48.7,151,A+
homme,Blanc,Henry,2/23/1933,NOISY-LE-SEC,78.9,172,B+
homme,Chenard,Guerin,8/26/1978,GRASSE,82.2,172,B+
homme,Lemaître,Donatien,6/27/1937,LA GARDE,70.1,179,A+
homme,Saucier,Marmion,6/2/1974,PRIVAS,69.0,176,AB+
femme,Des Meaux,Adrienne,2/23/1977,POINTE-À-PITRE,104.7,169,A+
homme,Charpentier,Dexter,11/3/1964,ORLÉANS,93.9,181,A+
homme,Lanoie,Dominique,12/24/1964,CAEN,101.5,181,O+
femme,Jardine,Aubrette,5/3/1955,ANNECY,52.7,158,A+
femme,Brasseur,Blanche,5/31/1950,HÉNIN-BEAUMONT,74.7,165,O+
femme,Bilodeau,Delphine,6/9/1986,DUNKERQUE,79.7,170,B+
homme,Briard,Julien,7/15/1948,CAGNES-SUR-MER,86.5,184,B+
homme,Desnoyer,Bellamy,2/7/1948,BLOIS,96.0,175,O+
homme,Avare,Gérard,1/9/1967,CERGY,67.1,170,O+
femme,Cressac,France,12/5/1977,TOULOUSE,51.4,174,O+
femme,Bouvier,Hedvige,7/12/1965,COLOMIERS,76.3,158,O+
homme,Lizotte,Perrin,1/17/1999,MARSEILLE,83.7,165,O+
homme,Bourque,Isaac,12/22/1937,MONTLUÇON,73.0,175,A+
homme,Houle,Burkett,7/14/1954,PARIS,67.9,186,B+
femme,Laurent,Hortense,8/2/1939,PANTIN,94.3,152,A+
femme,David,Villette,12/2/1964,ARRAS,95.3,167,B+
femme,Grignon,Parnella,12/25/1974,BEAUNE,86.5,156,A-
homme,Lampron,Fortun,5/10/1938,REZÉ,63.3,179,O+
femme,St-Jacques,Geneviève,9/23/1936,SAINT-MÉDARD-EN-JALLES,83.4,159,O+
homme,Angélil,Gaston,8/27/1968,LA GARDE,103.7,174,B+
homme,Caouette,Saville,7/21/1943,SAINT-MARTIN,61.4,179,O+
femme,Cailot,Patience,4/30/1970,VINCENNES,105.7,174,O+
homme,Foucault,Gustave,4/27/1974,LUNEL,75.5,168,A-
homme,Joly,Beltane,2/26/1952,PARIS,66.5,166,O+
femme,Audibert,Nanna,5/23/2000,ALFORTVILLE,64.6,162,O+
femme,Michel,Cinderella,7/7/1993,ÉPINAY-SUR-SEINE,85.5,162,O+
homme,Lécuyer,Aleron,10/6/1991,RENNES,93.4,184,B+
homme,Beaudouin,Moore,3/2/1974,DIGNE-LES-BAINS,101.7,187,O+
homme,Aupry,Eustache,4/27/1937,VILLEURBANNE,68.0,164,B+
homme,Charlesbois,Xavier,1/23/1972,GUÉRET,95.8,173,O+
femme,Neufville,Amorette,7/22/1943,PONTAULT-COMBAULT,61.3,156,AB+
femme,Lanctot,Rachelle,4/15/1952,SAINT-PAUL,67.9,162,A+
homme,Boileau,Dexter,6/14/1990,VILLENEUVE-SUR-LOT,62.8,173,A+
homme,Martel,Emmanuel,4/4/1956,METZ,79.6,182,O+
femme,Sabourin,Oriel,8/16/1960,BREST,58.8,167,B+
homme,Renaud,Tyson,5/5/1939,VANDOEUVRE-LÈS-NANCY,67.5,163,A+
femme,Coulombe,Thérèse,12/14/1977,CLICHY-SOUS-BOIS,100.8,172,B+
homme,Beauchamp,Octave,6/26/1986,SCHOELCHER,89.8,169,O-
femme,Lebrun,Xavierre,10/17/1999,LA CELLE-SAINT-CLOUD,85.0,160,O+
homme,Binet,Varden,10/21/1951,EAUBONNE,76.7,182,O+
homme,Daigle,Emmanuel,1/13/1962,BERGERAC,88.4,167,A+
homme,Deschamps,Byron,7/18/1991,LIÉVIN,68.8,182,A+
homme,Lamoureux,Charlot,11/7/1994,AUCH,76.7,169,B+
homme,Lemieux,Lothair,4/9/1956,DEUIL-LA-BARRE,74.2,171,A+
homme,Desjardins,Audric,5/19/1944,CAMBRAI,90.6,174,AB+
homme,Provencher,Royce,9/4/1937,VIERZON,72.3,163,O+
femme,Fréchette,Laetitia,2/4/1943,LE MANS,98.0,161,A+
homme,Desroches,Honoré,9/1/1949,SAINT-POL-SUR-MER,107.5,175,O+
homme,Deserres,Loyal,6/27/1939,GARGES-LÈS-GONESSE,95.5,176,B+
femme,Melanson,Royale,1/1/1993,SAINT-DENIS,92.6,165,B+
femme,Raymond,Olivie,3/2/1967,SAINT-LAURENT-DU-VAR,89.7,170,A+
femme,Marier,Searlait,3/6/1936,ANGLET,62.6,161,B+
homme,Bellefeuille,Lothair,10/28/1992,AUCH,110.8,188,O+
homme,Rancourt,Martin,5/30/1974,MAUBEUGE,114.5,185,B+
femme,Hughes,Susanne,8/27/1944,PERPIGNAN,53.0,158,B+
femme,Brisebois,Marveille,9/21/1933,LE MÉE-SUR-SEINE,76.3,167,O+
femme,Poisson,Fauna,2/11/1937,DRANCY,59.8,165,O+
homme,Bérubé,Marc,4/11/1988,TROYES,91.4,179,O+
femme,De La Ronde,Virginie,10/31/1995,LE ROBERT,49.4,168,B+
homme,Doyon,Bernard,4/13/1961,NANTES,105.0,168,B+
femme,René,Marguerite,11/4/1946,VERSAILLES,97.5,152,A+
homme,Courcelle,Daniel,9/17/1980,DRAGUIGNAN,65.0,185,O+
femme,CinqMars,Sophie,11/16/1958,RODEZ,99.9,171,O+
femme,Brian,Belisarda,4/12/1955,ALBI,63.2,152,O+
homme,Lafond,Ansel,2/19/1975,LIVRY-GARGAN,75.2,177,AB+
homme,Cyr,Percy,7/24/1947,LOMME,87.8,169,A+
femme,Brousseau,Falerina,6/8/1987,CAEN,76.4,171,A+
femme,Rocher,Claire,7/1/1978,TOULOUSE,88.8,157,B+
femme,Parizeau,Thérèse,12/19/1969,ORLÉANS,92.4,160,B+
homme,Martineau,Grégoire,6/21/1968,PARIS,94.0,182,O+
femme,Laurent,Gemma,3/28/1963,ROUBAIX,56.2,174,A+
homme,Morel,Norris,6/29/1970,BRON,97.3,183,B+
homme,Deniger,Matthieu,5/19/1938,MÂCON,59.3,175,B+
femme,Charrette,Faye,10/7/1980,SAINT-DIÉ,95.6,168,O+
homme,Lafrenière,Charles,7/10/1942,TOULOUSE,91.0,167,O+
femme,Faucher,Bradamate,2/24/1993,BERGERAC,84.9,172,A+
homme,Brodeur,Xarles,3/4/1965,COLOMBES,73.5,182,A+
homme,Lauzier,Pierpont,6/6/1950,LA VALETTE-DU-VAR,64.1,180,O+
homme,Masson,Avent,5/22/1966,BRIVE-LA-GAILLARDE,101.8,175,A+
homme,Daoust,Claude,7/22/1991,ROUEN,100.8,183,O+
homme,Lapresse,Donatien,2/9/1963,TAVERNY,115.7,177,AB+
